VTX, IDX, POSITION.x, POSITION.y, POSITION.z, POSITION.w, NORMAL.x, NORMAL.y, NORMAL.z, NORMAL.w, COLOR.x, COLOR.y, COLOR.z, COLOR.w, TEXCOORD0.x, TEXCOORD0.y, TEXCOORD1.x, TEXCOORD1.y, TEXCOORD1.z, TEXCOORD1.w, TANGENT.x, TANGENT.y, TANGENT.z, TANGENT.w
10, 73,  0.49268,  1.91309,  1.67188,  1.00,  0.59843,  0.25984,  0.75591,  0.00,  1.00,  1.00,  1.00,  1.00,  0.86475,  0.61719,  0.88627,  0.21569,  0.6549,  0.24706, -0.79528,  0.35433,  0.49606, -1.00
11, 71,  0.43237,  1.76953,  1.76855,  1.00,  0.56693,  0.00787,  0.82677,  0.00,  1.00,  1.00,  1.00,  1.00,  0.86475,  0.60645,  0.92157,  0.21176,  0.07843,  0.24706, -0.76378,  0.38583,  0.51969, -1.00
12, 74, -1.50488,  0.8457,  2.42383,  1.00, -0.45669,  0.73228,  0.51181,  0.00,  1.00,  1.00,  1.00,  1.00,  0.67334,  0.58105,  0.01961,  0.7451,  0.76863,  0.22745, -0.88189, -0.44882, -0.14173, -1.00
13, 75, -0.89307,  1.05469,  2.42773,  1.00, -0.0315,  0.73228,  0.68504,  0.00,  1.00,  1.00,  1.00,  1.00,  0.6499,  0.5874,  0.1451,  0.73333,  0.21961,  0.23529, -1.00, -0.01575, -0.0315, -1.00
14, 76, -1.50879,  1.04395,  2.08594,  1.00, -0.34646,  0.90551,  0.25197,  0.00,  1.00,  1.00,  1.00,  1.00,  0.67432,  0.59766,  0.03529,  0.7451,  0.17647,  0.23529, -0.92913, -0.28346, -0.24409, -1.00
15, 74, -1.50488,  0.8457,  2.42383,  1.00, -0.45669,  0.73228,  0.51181,  0.00,  1.00,  1.00,  1.00,  1.00,  0.67334,  0.58105,  0.01961,  0.7451,  0.76863,  0.22745, -0.88189, -0.44882, -0.14173, -1.00
16, 77, -0.33984,  0.87695,  2.45703,  1.00,  0.20472,  0.74016,  0.6378,  0.00,  1.00,  1.00,  1.00,  1.00,  0.62988,  0.58105,  0.43922,  0.7098,  0.01569,  0.23137, -0.97638,  0.14961,  0.13386, -1.00
17, 75, -0.89307,  1.05469,  2.42773,  1.00, -0.0315,  0.73228,  0.68504,  0.00,  1.00,  1.00,  1.00,  1.00,  0.6499,  0.5874,  0.1451,  0.73333,  0.21961,  0.23529, -1.00, -0.01575, -0.0315, -1.00
18, 78, -0.30444,  1.07617,  2.11133,  1.00,  0.11811,  0.95276,  0.29134,  0.00,  1.00,  1.00,  1.00,  1.00,  0.62988,  0.59912,  0.87451,  0.70588,  0.30588,  0.23529, -0.99213,  0.10236,  0.07874, -1.00
19, 75, -0.89307,  1.05469,  2.42773,  1.00, -0.0315,  0.73228,  0.68504,  0.00,  1.00,  1.00,  1.00,  1.00,  0.6499,  0.5874,  0.1451,  0.73333,  0.21961,  0.23529, -1.00, -0.01575, -0.0315, -1.00
20, 77, -0.33984,  0.87695,  2.45703,  1.00,  0.20472,  0.74016,  0.6378,  0.00,  1.00,  1.00,  1.00,  1.00,  0.62988,  0.58105,  0.43922,  0.7098,  0.01569,  0.23137, -0.97638,  0.14961,  0.13386, -1.00
21, 78, -0.30444,  1.07617,  2.11133,  1.00,  0.11811,  0.95276,  0.29134,  0.00,  1.00,  1.00,  1.00,  1.00,  0.62988,  0.59912,  0.87451,  0.70588,  0.30588,  0.23529, -0.99213,  0.10236,  0.07874, -1.00
22, 79, -1.30859,  1.05371,  1.68066,  1.00, -0.08661,  0.99213, -0.03937,  0.00,  1.00,  1.00,  1.00,  1.00,  0.66748,  0.61279,  0.23529,  0.74118,  0.21569,  0.23529, -0.99213, -0.08661, -0.08661, -1.00
23, 75, -0.89307,  1.05469,  2.42773,  1.00, -0.0315,  0.73228,  0.68504,  0.00,  1.00,  1.00,  1.00,  1.00,  0.6499,  0.5874,  0.1451,  0.73333,  0.21961,  0.23529, -1.00, -0.01575, -0.0315, -1.00
24, 75, -0.89307,  1.05469,  2.42773,  1.00, -0.0315,  0.73228,  0.68504,  0.00,  1.00,  1.00,  1.00,  1.00,  0.6499,  0.5874,  0.1451,  0.73333,  0.21961,  0.23529, -1.00, -0.01575, -0.0315, -1.00
25, 79, -1.30859,  1.05371,  1.68066,  1.00, -0.08661,  0.99213, -0.03937,  0.00,  1.00,  1.00,  1.00,  1.00,  0.66748,  0.61279,  0.23529,  0.74118,  0.21569,  0.23529, -0.99213, -0.08661, -0.08661, -1.00
26, 76, -1.50879,  1.04395,  2.08594,  1.00, -0.34646,  0.90551,  0.25197,  0.00,  1.00,  1.00,  1.00,  1.00,  0.67432,  0.59766,  0.03529,  0.7451,  0.17647,  0.23529, -0.92913, -0.28346, -0.24409, -1.00
27, 79, -1.30859,  1.05371,  1.68066,  1.00, -0.08661,  0.99213, -0.03937,  0.00,  1.00,  1.00,  1.00,  1.00,  0.66748,  0.61279,  0.23529,  0.74118,  0.21569,  0.23529, -0.99213, -0.08661, -0.08661, -1.00
28, 80, -1.64551,  1.02344,  1.89453,  1.00, -0.29921,  0.95276,  0.04724,  0.00,  1.00,  1.00,  1.00,  1.00,  0.68213,  0.604,  0.58431,  0.7451,  0.09412,  0.23529, -0.94488, -0.28346, -0.14173, -1.00
29, 76, -1.50879,  1.04395,  2.08594,  1.00, -0.34646,  0.90551,  0.25197,  0.00,  1.00,  1.00,  1.00,  1.00,  0.67432,  0.59766,  0.03529,  0.7451,  0.17647,  0.23529, -0.92913, -0.28346, -0.24409, -1.00
30, 80, -1.64551,  1.02344,  1.89453,  1.00, -0.29921,  0.95276,  0.04724,  0.00,  1.00,  1.00,  1.00,  1.00,  0.68213,  0.604,  0.58431,  0.7451,  0.09412,  0.23529, -0.94488, -0.28346, -0.14173, -1.00
31, 74, -1.50488,  0.8457,  2.42383,  1.00, -0.45669,  0.73228,  0.51181,  0.00,  1.00,  1.00,  1.00,  1.00,  0.67334,  0.58105,  0.01961,  0.7451,  0.76863,  0.22745, -0.88189, -0.44882, -0.14173, -1.00
32, 76, -1.50879,  1.04395,  2.08594,  1.00, -0.34646,  0.90551,  0.25197,  0.00,  1.00,  1.00,  1.00,  1.00,  0.67432,  0.59766,  0.03529,  0.7451,  0.17647,  0.23529, -0.92913, -0.28346, -0.24409, -1.00
33, 80, -1.64551,  1.02344,  1.89453,  1.00, -0.29921,  0.95276,  0.04724,  0.00,  1.00,  1.00,  1.00,  1.00,  0.68213,  0.604,  0.58431,  0.7451,  0.09412,  0.23529, -0.94488, -0.28346, -0.14173, -1.00
34, 79, -1.30859,  1.05371,  1.68066,  1.00, -0.08661,  0.99213, -0.03937,  0.00,  1.00,  1.00,  1.00,  1.00,  0.66748,  0.61279,  0.23529,  0.74118,  0.21569,  0.23529, -0.99213, -0.08661, -0.08661, -1.00
35, 81, -1.62598,  0.97998,  1.64844,  1.00, -0.20472,  0.96063, -0.18898,  0.00,  1.00,  1.00,  1.00,  1.00,  0.68213,  0.61279,  0.50588,  0.7451,  0.84314,  0.23137, -0.9685, -0.22835, -0.10236, -1.00
36, 74, -1.50488,  0.8457,  2.42383,  1.00, -0.45669,  0.73228,  0.51181,  0.00,  1.00,  1.00,  1.00,  1.00,  0.67334,  0.58105,  0.01961,  0.7451,  0.76863,  0.22745, -0.88189, -0.44882, -0.14173, -1.00
37, 80, -1.64551,  1.02344,  1.89453,  1.00, -0.29921,  0.95276,  0.04724,  0.00,  1.00,  1.00,  1.00,  1.00,  0.68213,  0.604,  0.58431,  0.7451,  0.09412,  0.23529, -0.94488, -0.28346, -0.14173, -1.00
38, 82, -1.69629,  0.68164,  2.41797,  1.00, -0.6063,  0.69291,  0.3937,  0.00,  1.00,  1.00,  1.00,  1.00,  0.68213,  0.58105,  0.78824,  0.7451,  0.4549,  0.22353, -0.75591, -0.65354, -0.02362, -1.00
39, 83, -0.33984,  0.87695,  2.45703,  1.00, -0.0315,  0.08661,  0.99213,  0.00,  1.00,  1.00,  1.00,  1.00,  0.62988,  0.57715,  0.43922,  0.7098,  0.01569,  0.23137, -1.00, -0.02362, -0.0315, -1.00
40, 84, -1.50488,  0.8457,  2.42383,  1.00, -0.04724,  0.03937,  1.00,  0.00,  1.00,  1.00,  1.00,  1.00,  0.67334,  0.57715,  0.01961,  0.7451,  0.76863,  0.22745, -0.99213, -0.11811, -0.04724, -1.00
41, 85, -0.35742,  0.41455,  2.49609,  1.00, -0.0315,  0.07087,  1.00,  0.00,  1.00,  1.00,  1.00,  1.00,  0.62988,  0.5625,  0.72157,  0.7098,  0.63529,  0.21176, -1.00, -0.02362, -0.0315, -1.00
42, 86, -1.71484,  0.41504,  2.42773,  1.00, -0.05512,  0.03937,  1.00,  0.00,  1.00,  1.00,  1.00,  1.00,  0.68213,  0.5625,  0.86275,  0.7451,  0.64314,  0.21176, -0.98425, -0.17323, -0.04724, -1.00
43, 85, -0.35742,  0.41455,  2.49609,  1.00, -0.0315,  0.07087,  1.00,  0.00,  1.00,  1.00,  1.00,  1.00,  0.62988,  0.5625,  0.72157,  0.7098,  0.63529,  0.21176, -1.00, -0.02362, -0.0315, -1.00
44, 84, -1.50488,  0.8457,  2.42383,  1.00, -0.04724,  0.03937,  1.00,  0.00,  1.00,  1.00,  1.00,  1.00,  0.67334,  0.57715,  0.01961,  0.7451,  0.76863,  0.22745, -0.99213, -0.11811, -0.04724, -1.00
45, 87, -1.69629,  0.68164,  2.41797,  1.00, -0.07087,  0.03937,  1.00,  0.00,  1.00,  1.00,  1.00,  1.00,  0.68213,  0.57715,  0.78824,  0.7451,  0.4549,  0.22353, -0.75591, -0.65354, -0.02362, -1.00
46, 86, -1.71484,  0.41504,  2.42773,  1.00, -0.05512,  0.03937,  1.00,  0.00,  1.00,  1.00,  1.00,  1.00,  0.68213,  0.5625,  0.86275,  0.7451,  0.64314,  0.21176, -0.98425, -0.17323, -0.04724, -1.00
47, 84, -1.50488,  0.8457,  2.42383,  1.00, -0.04724,  0.03937,  1.00,  0.00,  1.00,  1.00,  1.00,  1.00,  0.67334,  0.57715,  0.01961,  0.7451,  0.76863,  0.22745, -0.99213, -0.11811, -0.04724, -1.00
48, 88,  1.52344,  1.45703,  1.02246,  1.00,  0.41732,  0.89764,  0.15748,  0.00,  1.00,  1.00,  1.00,  1.00,  0.8042,  0.50488,  0.09412,  0.24314,  0.83137,  0.23922, -0.7874,  0.27559,  0.55118, -1.00
49, 89,  0.97217,  1.79395,  0.56396,  1.00,  0.44094,  0.88976,  0.12598,  0.00,  1.00,  1.00,  1.00,  1.00,  0.81494,  0.53662,  0.78039,  0.23137,  0.17647,  0.24706, -0.77953,  0.30709,  0.54331, -1.00
50, 90,  0.49268,  1.91309,  1.67188,  1.00,  0.45669,  0.88976,  0.10236,  0.00,  1.00,  1.00,  1.00,  1.00,  0.86475,  0.50488,  0.88627,  0.21569,  0.6549,  0.24706, -0.76378,  0.32283,  0.55906, -1.00
51, 88,  1.52344,  1.45703,  1.02246,  1.00,  0.41732,  0.89764,  0.15748,  0.00,  1.00,  1.00,  1.00,  1.00,  0.8042,  0.50488,  0.09412,  0.24314,  0.83137,  0.23922, -0.7874,  0.27559,  0.55118, -1.00
52, 91,  2.1875,  1.26855,  0.53271,  1.00,  0.3937,  0.89764,  0.18898,  0.00,  1.00,  1.00,  1.00,  1.00,  0.76514,  0.50488,  0.37647,  0.25098,  0.07451,  0.23922, -0.7874,  0.22047,  0.5748, -1.00
53, 89,  0.97217,  1.79395,  0.56396,  1.00,  0.44094,  0.88976,  0.12598,  0.00,  1.00,  1.00,  1.00,  1.00,  0.81494,  0.53662,  0.78039,  0.23137,  0.17647,  0.24706, -0.77953,  0.30709,  0.54331, -1.00
54, 89,  0.97217,  1.79395,  0.56396,  1.00,  0.44094,  0.88976,  0.12598,  0.00,  1.00,  1.00,  1.00,  1.00,  0.81494,  0.53662,  0.78039,  0.23137,  0.17647,  0.24706, -0.77953,  0.30709,  0.54331, -1.00
55, 92,  0.15515,  2.13672,  1.2207,  1.00,  0.44882,  0.88976,  0.10236,  0.00,  1.00,  1.00,  1.00,  1.00,  0.86475,  0.53662,  0.96863,  0.18824,  0.27451,  0.25098, -0.74016,  0.30709,  0.59843, -1.00
56, 90,  0.49268,  1.91309,  1.67188,  1.00,  0.45669,  0.88976,  0.10236,  0.00,  1.00,  1.00,  1.00,  1.00,  0.86475,  0.50488,  0.88627,  0.21569,  0.6549,  0.24706, -0.76378,  0.32283,  0.55906, -1.00
57, 93,  0.05508,  1.97656,  1.20703,  1.00, -0.74803, -0.49606, -0.44094,  0.00,  1.00,  1.00,  1.00,  1.00,  0.86475,  0.55713,  0.05098,  0.16863,  0.9098,  0.24706, -0.66142,  0.49606,  0.56693, -1.00
58, 94,  0.85449,  1.38184,  0.52295,  1.00, -0.74803, -0.49606, -0.44094,  0.00,  1.00,  1.00,  1.00,  1.00,  0.81152,  0.55713,  0.83922,  0.22745,  0.52941,  0.23922, -0.66142,  0.49606,  0.56693, -1.00
59, 95,  0.12732,  1.67871,  1.41992,  1.00, -0.74803, -0.49606, -0.44094,  0.00,  1.00,  1.00,  1.00,  1.00,  0.86475,  0.57129,  0.07451,  0.18824,  0.71765,  0.24314, -0.66142,  0.49606,  0.56693, -1.00
60, 96,  0.12732,  1.67871,  1.41992,  1.00, -0.74016,  0.29134,  0.59843,  0.00,  1.00,  1.00,  1.00,  1.00,  0.97217,  0.60938,  0.07451,  0.18824,  0.71765,  0.24314,  0.5748,  0.74016,  0.34646, -1.00
61, 97,  0.43237,  1.76953,  1.76855,  1.00, -0.68504,  0.37795,  0.62205,  0.00,  1.00,  1.00,  1.00,  1.00,  0.98535,  0.62061,  0.92157,  0.21176,  0.07843,  0.24706,  0.46457,  0.88189, -0.0315, -1.00
62, 98,  0.15515,  2.13672,  1.2207,  1.00, -0.66929,  0.3622,  0.64567,  0.00,  1.00,  1.00,  1.00,  1.00,  0.99609,  0.58691,  0.96863,  0.18824,  0.27451,  0.25098,  0.59843,  0.7874,  0.17323, -1.00
63, 97,  0.43237,  1.76953,  1.76855,  1.00, -0.68504,  0.37795,  0.62205,  0.00,  1.00,  1.00,  1.00,  1.00,  0.98535,  0.62061,  0.92157,  0.21176,  0.07843,  0.24706,  0.46457,  0.88189, -0.0315, -1.00
64, 96,  0.12732,  1.67871,  1.41992,  1.00, -0.74016,  0.29134,  0.59843,  0.00,  1.00,  1.00,  1.00,  1.00,  0.97217,  0.60938,  0.07451,  0.18824,  0.71765,  0.24314,  0.5748,  0.74016,  0.34646, -1.00
65, 99,  0.36353,  1.56055,  1.76465,  1.00, -0.76378,  0.24409,  0.6063,  0.00,  1.00,  1.00,  1.00,  1.00,  0.97217,  0.62061,  0.81961,  0.20784,  0.24314,  0.24314,  0.31496,  0.95276,  0.01575, -1.00
66, 100,  0.05508,  1.97656,  1.20703,  1.00, -0.62992,  0.33858,  0.69291,  0.00,  1.00,  1.00,  1.00,  1.00,  0.97217,  0.58691,  0.05098,  0.16863,  0.9098,  0.24706,  0.53543,  0.84252,  0.07087, -1.00
67, 96,  0.12732,  1.67871,  1.41992,  1.00, -0.74016,  0.29134,  0.59843,  0.00,  1.00,  1.00,  1.00,  1.00,  0.97217,  0.60938,  0.07451,  0.18824,  0.71765,  0.24314,  0.5748,  0.74016,  0.34646, -1.00
68, 98,  0.15515,  2.13672,  1.2207,  1.00, -0.66929,  0.3622,  0.64567,  0.00,  1.00,  1.00,  1.00,  1.00,  0.99609,  0.58691,  0.96863,  0.18824,  0.27451,  0.25098,  0.59843,  0.7874,  0.17323, -1.00
69, 98,  0.15515,  2.13672,  1.2207,  1.00, -0.66929,  0.3622,  0.64567,  0.00,  1.00,  1.00,  1.00,  1.00,  0.99609,  0.58691,  0.96863,  0.18824,  0.27451,  0.25098,  0.59843,  0.7874,  0.17323, -1.00
70, 97,  0.43237,  1.76953,  1.76855,  1.00, -0.68504,  0.37795,  0.62205,  0.00,  1.00,  1.00,  1.00,  1.00,  0.98535,  0.62061,  0.92157,  0.21176,  0.07843,  0.24706,  0.46457,  0.88189, -0.0315, -1.00
71, 101,  0.49268,  1.91309,  1.67188,  1.00, -0.44882,  0.62205,  0.64567,  0.00,  1.00,  1.00,  1.00,  1.00,  0.99609,  0.62061,  0.88627,  0.21569,  0.6549,  0.24706,  0.33071,  0.77953, -0.52756, -1.00
72, 102, -1.62598,  0.97998,  1.64844,  1.00, -1.00,  0.03937, -0.07874,  0.00,  1.00,  1.00,  1.00,  1.00,  0.604,  0.5376,  0.50588,  0.7451,  0.84314,  0.23137, -0.02362, -0.98425, -0.18898,  1.00
73, 103, -1.69629,  0.68164,  2.41797,  1.00, -0.99213,  0.06299, -0.06299,  0.00,  1.00,  1.00,  1.00,  1.00,  0.61621,  0.56543,  0.78824,  0.7451,  0.4549,  0.22353, -0.06299, -1.00,  0.00787,  1.00
74, 104, -1.64551,  1.02344,  1.89453,  1.00, -1.00,  0.01575, -0.07874,  0.00,  1.00,  1.00,  1.00,  1.00,  0.604,  0.54492,  0.58431,  0.7451,  0.09412,  0.23529,  0.00787, -0.95276, -0.29134,  1.00
75, 103, -1.69629,  0.68164,  2.41797,  1.00, -0.99213,  0.06299, -0.06299,  0.00,  1.00,  1.00,  1.00,  1.00,  0.61621,  0.56543,  0.78824,  0.7451,  0.4549,  0.22353, -0.06299, -1.00,  0.00787,  1.00
76, 102, -1.62598,  0.97998,  1.64844,  1.00, -1.00,  0.03937, -0.07874,  0.00,  1.00,  1.00,  1.00,  1.00,  0.604,  0.5376,  0.50588,  0.7451,  0.84314,  0.23137, -0.02362, -0.98425, -0.18898,  1.00
77, 105, -1.71484,  0.41504,  2.42773,  1.00, -0.99213,  0.07087, -0.06299,  0.00,  1.00,  1.00,  1.00,  1.00,  0.62549,  0.56543,  0.86275,  0.7451,  0.64314,  0.21176, -0.07087, -1.00,  0.03937,  1.00
78, 106,  0.85449,  1.38184,  0.52295,  1.00, -0.52756,  0.23622, -0.8189,  0.00,  1.00,  1.00,  1.00,  1.00,  0.81152,  0.5542,  0.83922,  0.22745,  0.52941,  0.23922, -0.66142,  0.49606,  0.56693, -1.00
79, 107,  0.05508,  1.97656,  1.20703,  1.00, -0.49606,  0.33858, -0.80315,  0.00,  1.00,  1.00,  1.00,  1.00,  0.86475,  0.5542,  0.05098,  0.16863,  0.9098,  0.24706, -0.72441,  0.34646,  0.59843, -1.00
80, 108,  0.97217,  1.79395,  0.56396,  1.00, -0.51969,  0.24409, -0.8189,  0.00,  1.00,  1.00,  1.00,  1.00,  0.81494,  0.53955,  0.78039,  0.23137,  0.17647,  0.24706, -0.66929,  0.47244,  0.5748, -1.00
81, 108,  0.97217,  1.79395,  0.56396,  1.00, -0.51969,  0.24409, -0.8189,  0.00,  1.00,  1.00,  1.00,  1.00,  0.81494,  0.53955,  0.78039,  0.23137,  0.17647,  0.24706, -0.66929,  0.47244,  0.5748, -1.00
82, 107,  0.05508,  1.97656,  1.20703,  1.00, -0.49606,  0.33858, -0.80315,  0.00,  1.00,  1.00,  1.00,  1.00,  0.86475,  0.5542,  0.05098,  0.16863,  0.9098,  0.24706, -0.72441,  0.34646,  0.59843, -1.00
83, 109,  0.15515,  2.13672,  1.2207,  1.00, -0.48031,  0.37008, -0.79528,  0.00,  1.00,  1.00,  1.00,  1.00,  0.86475,  0.53955,  0.96863,  0.18824,  0.27451,  0.25098, -0.74016,  0.30709,  0.59843, -1.00
84, 110,  2.62695,  0.70068, -0.99854,  1.00,  0.90551, -0.26772, -0.31496,  0.00,  1.00,  1.00,  1.00,  1.00,  0.50391,  0.50244,  0.2549,  0.2549,  0.60784,  0.22353,  0.30709, -0.08661,  0.94488, -1.00
85, 111,  3.19336,  1.03711,  0.33154,  1.00,  0.89764, -0.37008, -0.25984,  0.00,  1.00,  1.00,  1.00,  1.00,  0.55078,  0.521,  0.38824,  0.25882,  0.14902,  0.23529,  0.19685, -0.19685,  0.96063, -1.00
86, 112,  3.03516,  0.44653,  0.67383,  1.00,  0.88976, -0.37795, -0.24409,  0.00,  1.00,  1.00,  1.00,  1.00,  0.56152,  0.50244,  0.07059,  0.25882,  0.1451,  0.21569,  0.17323, -0.22047,  0.96063, -1.00
87, 111,  3.19336,  1.03711,  0.33154,  1.00,  0.89764, -0.37008, -0.25984,  0.00,  1.00,  1.00,  1.00,  1.00,  0.55078,  0.521,  0.38824,  0.25882,  0.14902,  0.23529,  0.19685, -0.19685,  0.96063, -1.00
88, 110,  2.62695,  0.70068, -0.99854,  1.00,  0.90551, -0.26772, -0.31496,  0.00,  1.00,  1.00,  1.00,  1.00,  0.50391,  0.50244,  0.2549,  0.2549,  0.60784,  0.22353,  0.30709, -0.08661,  0.94488, -1.00
89, 113,  2.74023,  1.11914, -0.97021,  1.00,  0.91339, -0.22835, -0.33071,  0.00,  1.00,  1.00,  1.00,  1.00,  0.50391,  0.521,  0.48235,  0.2549,  0.47843,  0.23529,  0.33071, -0.06299,  0.94488, -1.00
90, 114,  3.21094,  0.91113,  0.65527,  1.00,  0.91339, -0.35433, -0.18898,  0.00,  1.00,  1.00,  1.00,  1.00,  0.56152,  0.521,  0.42353,  0.25882,  0.2902,  0.23137,  0.05512, -0.3622,  0.92913, -1.00
91, 112,  3.03516,  0.44653,  0.67383,  1.00,  0.88976, -0.37795, -0.24409,  0.00,  1.00,  1.00,  1.00,  1.00,  0.56152,  0.50244,  0.07059,  0.25882,  0.1451,  0.21569,  0.17323, -0.22047,  0.96063, -1.00
92, 111,  3.19336,  1.03711,  0.33154,  1.00,  0.89764, -0.37008, -0.25984,  0.00,  1.00,  1.00,  1.00,  1.00,  0.55078,  0.521,  0.38824,  0.25882,  0.14902,  0.23529,  0.19685, -0.19685,  0.96063, -1.00
93, 115, -0.4375,  3.07617,  0.69971,  1.00, -0.03937, -0.03937,  1.00,  0.00,  1.00,  1.00,  1.00,  1.00,  0.8042,  0.61719,  0.00,  0.71765,  0.15294,  0.25882, -1.00, -0.00787, -0.04724, -1.00
94, 116, -1.62402,  2.70117,  0.61963,  1.00, -0.05512, -0.03937,  1.00,  0.00,  1.00,  1.00,  1.00,  1.00,  0.86475,  0.59814,  0.49804,  0.7451,  0.40392,  0.2549, -0.99213,  0.10236, -0.05512, -1.00
95, 117,  0.33862,  2.69141,  0.70508,  1.00,  0.14961, -0.01575,  0.98425,  0.00,  1.00,  1.00,  1.00,  1.00,  0.76367,  0.59814,  0.41961,  0.20784,  0.38431,  0.2549, -0.98425, -0.05512,  0.14961, -1.00
96, 118, -1.6377,  2.93359,  0.62549,  1.00, -0.07874,  0.17323,  0.98425,  0.00,  1.00,  1.00,  1.00,  1.00,  0.86475,  0.60645,  0.55294,  0.7451,  0.87059,  0.2549, -0.99213,  0.07087, -0.09449, -1.00
97, 116, -1.62402,  2.70117,  0.61963,  1.00, -0.05512, -0.03937,  1.00,  0.00,  1.00,  1.00,  1.00,  1.00,  0.86475,  0.59814,  0.49804,  0.7451,  0.40392,  0.2549, -0.99213,  0.10236, -0.05512, -1.00
98, 115, -0.4375,  3.07617,  0.69971,  1.00, -0.03937, -0.03937,  1.00,  0.00,  1.00,  1.00,  1.00,  1.00,  0.8042,  0.61719,  0.00,  0.71765,  0.15294,  0.25882, -1.00, -0.00787, -0.04724, -1.00
99, 119,  0.3103,  3.16211,  0.71484,  1.00,  0.17323,  0.00787,  0.98425,  0.00,  1.00,  1.00,  1.00,  1.00,  0.76416,  0.61719,  0.96863,  0.20392,  0.32549,  0.25882, -0.98425, -0.07087,  0.17323, -1.00
100, 115, -0.4375,  3.07617,  0.69971,  1.00, -0.03937, -0.03937,  1.00,  0.00,  1.00,  1.00,  1.00,  1.00,  0.8042,  0.61719,  0.00,  0.71765,  0.15294,  0.25882, -1.00, -0.00787, -0.04724, -1.00
101, 117,  0.33862,  2.69141,  0.70508,  1.00,  0.14961, -0.01575,  0.98425,  0.00,  1.00,  1.00,  1.00,  1.00,  0.76367,  0.59814,  0.41961,  0.20784,  0.38431,  0.2549, -0.98425, -0.05512,  0.14961, -1.00
102, 120,  0.64453,  2.70313,  0.60254,  1.00,  0.34646,  0.02362,  0.93701,  0.00,  1.00,  1.00,  1.00,  1.00,  0.74756,  0.59814,  0.15686,  0.22353,  0.40784,  0.2549, -0.93701, -0.0315,  0.34646, -1.00
103, 119,  0.3103,  3.16211,  0.71484,  1.00,  0.17323,  0.00787,  0.98425,  0.00,  1.00,  1.00,  1.00,  1.00,  0.76416,  0.61719,  0.96863,  0.20392,  0.32549,  0.25882, -0.98425, -0.07087,  0.17323, -1.00
104, 117,  0.33862,  2.69141,  0.70508,  1.00,  0.14961, -0.01575,  0.98425,  0.00,  1.00,  1.00,  1.00,  1.00,  0.76367,  0.59814,  0.41961,  0.20784,  0.38431,  0.2549, -0.98425, -0.05512,  0.14961, -1.00
