VTX, IDX, POSITION.x, POSITION.y, POSITION.z, POSITION.w, NORMAL.x, NORMAL.y, NORMAL.z, NORMAL.w, TEXCOORD0.x, TEXCOORD0.y, TEXCOORD1.x, TEXCOORD1.y, TEXCOORD2.x, TEXCOORD2.y, TANGENT.x, TANGENT.y, TANGENT.z, TANGENT.w
12, 6,  0.14124,  0.98584, -0.71045,  1.00, -0.16535, -0.55118,  0.8189,  0.00,  0.03125,  0.77881,  0.41675,  0.60645,  0.46387,  0.54199,  0.98425,  0.00,  0.19685,  1.00
13, 3,  0.06494,  1.06836, -0.65918,  1.00, -0.07087, -0.65354,  0.75591,  0.00,  0.01563,  0.82422,  0.43726,  0.59814,  0.47485,  0.53418,  0.99213,  0.00,  0.09449,  1.00
14, 2,  0.07098,  0.98584, -0.7207,  1.00, -0.07874, -0.55118,  0.83465,  0.00,  0.01563,  0.77881,  0.42798,  0.61377,  0.46826,  0.54492,  0.99213,  0.00,  0.09449,  1.00
15, 6,  0.14124,  0.98584, -0.71045,  1.00, -0.16535, -0.55118,  0.8189,  0.00,  0.03125,  0.77881,  0.41675,  0.60645,  0.46387,  0.54199,  0.98425,  0.00,  0.19685,  1.00
16, 7,  0.12927,  1.06836, -0.6499,  1.00, -0.14961, -0.65354,  0.74016,  0.00,  0.03125,  0.82422,  0.42773,  0.5918,  0.47144,  0.53174,  0.98425,  0.00,  0.19685,  1.00
17, 3,  0.06494,  1.06836, -0.65918,  1.00, -0.07087, -0.65354,  0.75591,  0.00,  0.01563,  0.82422,  0.43726,  0.59814,  0.47485,  0.53418,  0.99213,  0.00,  0.09449,  1.00
18, 5,  1.19209E-7,  0.88916, -0.77881,  1.00,  0.00, -0.44094,  0.89764,  0.00,  0.00,  0.71826,  0.43237,  0.63574,  0.46631,  0.56201,  1.00,  0.01575,  0.00787,  1.00
19, 8,  0.08099,  0.77686, -0.82227,  1.00, -0.09449, -0.34646,  0.93701,  0.00,  0.01563,  0.63916,  0.41016,  0.64355,  0.44995,  0.57471,  0.99213,  0.00,  0.09449,  1.00
20, 4,  0.07635,  0.88916, -0.77539,  1.00, -0.08661, -0.44094,  0.88976,  0.00,  0.01563,  0.71826,  0.41895,  0.62842,  0.46021,  0.55859,  0.99213,  0.00,  0.09449,  1.00
21, 5,  1.19209E-7,  0.88916, -0.77881,  1.00,  0.00, -0.44094,  0.89764,  0.00,  0.00,  0.71826,  0.43237,  0.63574,  0.46631,  0.56201,  1.00,  0.01575,  0.00787,  1.00
22, 9,  0.00,  0.77686, -0.82617,  1.00,  0.00, -0.34646,  0.93701,  0.00,  0.00,  0.63916,  0.4248,  0.65137,  0.45801,  0.5791,  1.00,  0.01575,  0.00787,  1.00
23, 8,  0.08099,  0.77686, -0.82227,  1.00, -0.09449, -0.34646,  0.93701,  0.00,  0.01563,  0.63916,  0.41016,  0.64355,  0.44995,  0.57471,  0.99213,  0.00,  0.09449,  1.00
24, 9,  0.00,  0.77686, -0.82617,  1.00,  0.00, -0.34646,  0.93701,  0.00,  0.00,  0.63916,  0.4248,  0.65137,  0.45801,  0.5791,  1.00,  0.01575,  0.00787,  1.00
25, 10,  0.08484,  0.65332, -0.86133,  1.00, -0.09449, -0.26772,  0.96063,  0.00,  0.01563,  0.54492,  0.39893,  0.66162,  0.4375,  0.59521,  0.99213,  0.00,  0.09449,  1.00
26, 8,  0.08099,  0.77686, -0.82227,  1.00, -0.09449, -0.34646,  0.93701,  0.00,  0.01563,  0.63916,  0.41016,  0.64355,  0.44995,  0.57471,  0.99213,  0.00,  0.09449,  1.00
27, 9,  0.00,  0.77686, -0.82617,  1.00,  0.00, -0.34646,  0.93701,  0.00,  0.00,  0.63916,  0.4248,  0.65137,  0.45801,  0.5791,  1.00,  0.01575,  0.00787,  1.00
28, 11,  1.19209E-7,  0.65332, -0.86572,  1.00,  0.00, -0.26772,  0.96063,  0.00,  0.00,  0.54492,  0.41577,  0.67041,  0.44751,  0.60059,  1.00,  0.01575,  0.00,  1.00
29, 10,  0.08484,  0.65332, -0.86133,  1.00, -0.09449, -0.26772,  0.96063,  0.00,  0.01563,  0.54492,  0.39893,  0.66162,  0.4375,  0.59521,  0.99213,  0.00,  0.09449,  1.00
30, 12,  0.15198,  0.88916, -0.76416,  1.00, -0.17323, -0.44094,  0.88189,  0.00,  0.03125,  0.71826,  0.40649,  0.62012,  0.45435,  0.5542,  0.98425,  0.00,  0.19685,  1.00
31, 6,  0.14124,  0.98584, -0.71045,  1.00, -0.16535, -0.55118,  0.8189,  0.00,  0.03125,  0.77881,  0.41675,  0.60645,  0.46387,  0.54199,  0.98425,  0.00,  0.19685,  1.00
32, 2,  0.07098,  0.98584, -0.7207,  1.00, -0.07874, -0.55118,  0.83465,  0.00,  0.01563,  0.77881,  0.42798,  0.61377,  0.46826,  0.54492,  0.99213,  0.00,  0.09449,  1.00
33, 12,  0.15198,  0.88916, -0.76416,  1.00, -0.17323, -0.44094,  0.88189,  0.00,  0.03125,  0.71826,  0.40649,  0.62012,  0.45435,  0.5542,  0.98425,  0.00,  0.19685,  1.00
34, 2,  0.07098,  0.98584, -0.7207,  1.00, -0.07874, -0.55118,  0.83465,  0.00,  0.01563,  0.77881,  0.42798,  0.61377,  0.46826,  0.54492,  0.99213,  0.00,  0.09449,  1.00
35, 4,  0.07635,  0.88916, -0.77539,  1.00, -0.08661, -0.44094,  0.88976,  0.00,  0.01563,  0.71826,  0.41895,  0.62842,  0.46021,  0.55859,  0.99213,  0.00,  0.09449,  1.00
36, 11,  1.19209E-7,  0.65332, -0.86572,  1.00,  0.00, -0.26772,  0.96063,  0.00,  0.00,  0.54492,  0.41577,  0.67041,  0.44751,  0.60059,  1.00,  0.01575,  0.00,  1.00
37, 13,  0.08789,  0.52393, -0.89209,  1.00, -0.09449, -0.18898,  0.97638,  0.00,  0.01563,  0.43359,  0.38037,  0.69238,  0.41968,  0.62354,  0.99213,  0.00,  0.09449,  1.00
38, 10,  0.08484,  0.65332, -0.86133,  1.00, -0.09449, -0.26772,  0.96063,  0.00,  0.01563,  0.54492,  0.39893,  0.66162,  0.4375,  0.59521,  0.99213,  0.00,  0.09449,  1.00
39, 11,  1.19209E-7,  0.65332, -0.86572,  1.00,  0.00, -0.26772,  0.96063,  0.00,  0.00,  0.54492,  0.41577,  0.67041,  0.44751,  0.60059,  1.00,  0.01575,  0.00,  1.00
40, 14,  1.19209E-7,  0.52393, -0.89648,  1.00,  0.00, -0.18898,  0.98425,  0.00,  0.00,  0.43359,  0.40015,  0.70313,  0.43262,  0.63037,  1.00,  0.00787,  0.00,  1.00
41, 13,  0.08789,  0.52393, -0.89209,  1.00, -0.09449, -0.18898,  0.97638,  0.00,  0.01563,  0.43359,  0.38037,  0.69238,  0.41968,  0.62354,  0.99213,  0.00,  0.09449,  1.00
42, 15,  0.16125,  0.77686, -0.81055,  1.00, -0.1811, -0.34646,  0.92126,  0.00,  0.03125,  0.63916,  0.39624,  0.63379,  0.44263,  0.56982,  0.98425,  0.00,  0.19685,  1.00
43, 12,  0.15198,  0.88916, -0.76416,  1.00, -0.17323, -0.44094,  0.88189,  0.00,  0.03125,  0.71826,  0.40649,  0.62012,  0.45435,  0.5542,  0.98425,  0.00,  0.19685,  1.00
44, 4,  0.07635,  0.88916, -0.77539,  1.00, -0.08661, -0.44094,  0.88976,  0.00,  0.01563,  0.71826,  0.41895,  0.62842,  0.46021,  0.55859,  0.99213,  0.00,  0.09449,  1.00
45, 15,  0.16125,  0.77686, -0.81055,  1.00, -0.1811, -0.34646,  0.92126,  0.00,  0.03125,  0.63916,  0.39624,  0.63379,  0.44263,  0.56982,  0.98425,  0.00,  0.19685,  1.00
46, 4,  0.07635,  0.88916, -0.77539,  1.00, -0.08661, -0.44094,  0.88976,  0.00,  0.01563,  0.71826,  0.41895,  0.62842,  0.46021,  0.55859,  0.99213,  0.00,  0.09449,  1.00
47, 8,  0.08099,  0.77686, -0.82227,  1.00, -0.09449, -0.34646,  0.93701,  0.00,  0.01563,  0.63916,  0.41016,  0.64355,  0.44995,  0.57471,  0.99213,  0.00,  0.09449,  1.00
48, 14,  1.19209E-7,  0.52393, -0.89648,  1.00,  0.00, -0.18898,  0.98425,  0.00,  0.00,  0.43359,  0.40015,  0.70313,  0.43262,  0.63037,  1.00,  0.00787,  0.00,  1.00
49, 16,  0.09009,  0.375, -0.91455,  1.00, -0.09449, -0.11024,  0.99213,  0.00,  0.01563,  0.30469,  0.3457,  0.74951,  0.39038,  0.66992,  0.99213,  0.00,  0.09449,  1.00
50, 13,  0.08789,  0.52393, -0.89209,  1.00, -0.09449, -0.18898,  0.97638,  0.00,  0.01563,  0.43359,  0.38037,  0.69238,  0.41968,  0.62354,  0.99213,  0.00,  0.09449,  1.00
51, 14,  1.19209E-7,  0.52393, -0.89648,  1.00,  0.00, -0.18898,  0.98425,  0.00,  0.00,  0.43359,  0.40015,  0.70313,  0.43262,  0.63037,  1.00,  0.00787,  0.00,  1.00
52, 17,  1.19209E-7,  0.375, -0.91895,  1.00,  0.00, -0.11024,  0.99213,  0.00,  0.00,  0.30469,  0.37134,  0.76318,  0.40796,  0.67969,  1.00,  0.00787,  0.00,  1.00
53, 16,  0.09009,  0.375, -0.91455,  1.00, -0.09449, -0.11024,  0.99213,  0.00,  0.01563,  0.30469,  0.3457,  0.74951,  0.39038,  0.66992,  0.99213,  0.00,  0.09449,  1.00
54, 18,  0.16882,  0.65332, -0.84912,  1.00, -0.18898, -0.26772,  0.94488,  0.00,  0.03125,  0.54492,  0.3833,  0.65088,  0.42822,  0.58838,  0.98425,  0.00,  0.19685,  1.00
55, 15,  0.16125,  0.77686, -0.81055,  1.00, -0.1811, -0.34646,  0.92126,  0.00,  0.03125,  0.63916,  0.39624,  0.63379,  0.44263,  0.56982,  0.98425,  0.00,  0.19685,  1.00
56, 8,  0.08099,  0.77686, -0.82227,  1.00, -0.09449, -0.34646,  0.93701,  0.00,  0.01563,  0.63916,  0.41016,  0.64355,  0.44995,  0.57471,  0.99213,  0.00,  0.09449,  1.00
57, 18,  0.16882,  0.65332, -0.84912,  1.00, -0.18898, -0.26772,  0.94488,  0.00,  0.03125,  0.54492,  0.3833,  0.65088,  0.42822,  0.58838,  0.98425,  0.00,  0.19685,  1.00
58, 8,  0.08099,  0.77686, -0.82227,  1.00, -0.09449, -0.34646,  0.93701,  0.00,  0.01563,  0.63916,  0.41016,  0.64355,  0.44995,  0.57471,  0.99213,  0.00,  0.09449,  1.00
59, 10,  0.08484,  0.65332, -0.86133,  1.00, -0.09449, -0.26772,  0.96063,  0.00,  0.01563,  0.54492,  0.39893,  0.66162,  0.4375,  0.59521,  0.99213,  0.00,  0.09449,  1.00
60, 17,  1.19209E-7,  0.375, -0.91895,  1.00,  0.00, -0.11024,  0.99213,  0.00,  0.00,  0.30469,  0.37134,  0.76318,  0.40796,  0.67969,  1.00,  0.00787,  0.00,  1.00
61, 19,  0.09137,  0.18762, -0.92773,  1.00, -0.09449, -0.04724,  0.99213,  0.00,  0.01563,  0.16077,  0.28564,  0.84717,  0.32861,  0.76807,  0.99213,  0.00,  0.09449,  1.00
62, 16,  0.09009,  0.375, -0.91455,  1.00, -0.09449, -0.11024,  0.99213,  0.00,  0.01563,  0.30469,  0.3457,  0.74951,  0.39038,  0.66992,  0.99213,  0.00,  0.09449,  1.00
63, 17,  1.19209E-7,  0.375, -0.91895,  1.00,  0.00, -0.11024,  0.99213,  0.00,  0.00,  0.30469,  0.37134,  0.76318,  0.40796,  0.67969,  1.00,  0.00787,  0.00,  1.00
64, 20, -1.19209E-7,  0.18762, -0.93262,  1.00,  0.00, -0.04724,  1.00,  0.00,  0.00,  0.16077,  0.32129,  0.86621,  0.3562,  0.7832,  1.00,  0.00,  0.00,  1.00
65, 19,  0.09137,  0.18762, -0.92773,  1.00, -0.09449, -0.04724,  0.99213,  0.00,  0.01563,  0.16077,  0.28564,  0.84717,  0.32861,  0.76807,  0.99213,  0.00,  0.09449,  1.00
66, 21,  0.17493,  0.52393, -0.87939,  1.00, -0.18898, -0.18898,  0.96063,  0.00,  0.03125,  0.43359,  0.36182,  0.67969,  0.40771,  0.61523,  0.98425,  0.00,  0.19685,  1.00
67, 18,  0.16882,  0.65332, -0.84912,  1.00, -0.18898, -0.26772,  0.94488,  0.00,  0.03125,  0.54492,  0.3833,  0.65088,  0.42822,  0.58838,  0.98425,  0.00,  0.19685,  1.00
68, 10,  0.08484,  0.65332, -0.86133,  1.00, -0.09449, -0.26772,  0.96063,  0.00,  0.01563,  0.54492,  0.39893,  0.66162,  0.4375,  0.59521,  0.99213,  0.00,  0.09449,  1.00
69, 21,  0.17493,  0.52393, -0.87939,  1.00, -0.18898, -0.18898,  0.96063,  0.00,  0.03125,  0.43359,  0.36182,  0.67969,  0.40771,  0.61523,  0.98425,  0.00,  0.19685,  1.00
70, 10,  0.08484,  0.65332, -0.86133,  1.00, -0.09449, -0.26772,  0.96063,  0.00,  0.01563,  0.54492,  0.39893,  0.66162,  0.4375,  0.59521,  0.99213,  0.00,  0.09449,  1.00
71, 13,  0.08789,  0.52393, -0.89209,  1.00, -0.09449, -0.18898,  0.97638,  0.00,  0.01563,  0.43359,  0.38037,  0.69238,  0.41968,  0.62354,  0.99213,  0.00,  0.09449,  1.00
72, 22,  0.17932,  0.375, -0.90137,  1.00, -0.19685, -0.11024,  0.97638,  0.00,  0.03125,  0.30469,  0.32153,  0.73291,  0.37378,  0.6582,  0.98425,  0.00,  0.19685,  1.00
73, 21,  0.17493,  0.52393, -0.87939,  1.00, -0.18898, -0.18898,  0.96063,  0.00,  0.03125,  0.43359,  0.36182,  0.67969,  0.40771,  0.61523,  0.98425,  0.00,  0.19685,  1.00
74, 13,  0.08789,  0.52393, -0.89209,  1.00, -0.09449, -0.18898,  0.97638,  0.00,  0.01563,  0.43359,  0.38037,  0.69238,  0.41968,  0.62354,  0.99213,  0.00,  0.09449,  1.00
75, 22,  0.17932,  0.375, -0.90137,  1.00, -0.19685, -0.11024,  0.97638,  0.00,  0.03125,  0.30469,  0.32153,  0.73291,  0.37378,  0.6582,  0.98425,  0.00,  0.19685,  1.00
76, 13,  0.08789,  0.52393, -0.89209,  1.00, -0.09449, -0.18898,  0.97638,  0.00,  0.01563,  0.43359,  0.38037,  0.69238,  0.41968,  0.62354,  0.99213,  0.00,  0.09449,  1.00
77, 16,  0.09009,  0.375, -0.91455,  1.00, -0.09449, -0.11024,  0.99213,  0.00,  0.01563,  0.30469,  0.3457,  0.74951,  0.39038,  0.66992,  0.99213,  0.00,  0.09449,  1.00
78, 23,  0.09186,  0.00, -0.93262,  1.00, -0.09449, -0.02362,  0.99213,  0.00,  0.01563,  0.00,  0.23804,  0.9248,  0.23132,  0.92334,  0.99213,  0.00,  0.09449,  1.00
79, 19,  0.09137,  0.18762, -0.92773,  1.00, -0.09449, -0.04724,  0.99213,  0.00,  0.01563,  0.16077,  0.28564,  0.84717,  0.32861,  0.76807,  0.99213,  0.00,  0.09449,  1.00
80, 20, -1.19209E-7,  0.18762, -0.93262,  1.00,  0.00, -0.04724,  1.00,  0.00,  0.00,  0.16077,  0.32129,  0.86621,  0.3562,  0.7832,  1.00,  0.00,  0.00,  1.00
81, 23,  0.09186,  0.00, -0.93262,  1.00, -0.09449, -0.02362,  0.99213,  0.00,  0.01563,  0.00,  0.23804,  0.9248,  0.23132,  0.92334,  0.99213,  0.00,  0.09449,  1.00
82, 20, -1.19209E-7,  0.18762, -0.93262,  1.00,  0.00, -0.04724,  1.00,  0.00,  0.00,  0.16077,  0.32129,  0.86621,  0.3562,  0.7832,  1.00,  0.00,  0.00,  1.00
83, 24,  0.00,  0.00, -0.93701,  1.00,  0.00, -0.02362,  1.00,  0.00,  0.00,  0.00,  0.28149,  0.94873,  0.2749,  0.94775,  1.00,  0.00,  0.00,  1.00
84, 25,  0.18188,  0.18762, -0.91455,  1.00, -0.19685, -0.04724,  0.97638,  0.00,  0.03125,  0.16077,  0.2522,  0.82422,  0.30249,  0.75,  0.98425,  0.00,  0.19685,  1.00
85, 22,  0.17932,  0.375, -0.90137,  1.00, -0.19685, -0.11024,  0.97638,  0.00,  0.03125,  0.30469,  0.32153,  0.73291,  0.37378,  0.6582,  0.98425,  0.00,  0.19685,  1.00
86, 16,  0.09009,  0.375, -0.91455,  1.00, -0.09449, -0.11024,  0.99213,  0.00,  0.01563,  0.30469,  0.3457,  0.74951,  0.39038,  0.66992,  0.99213,  0.00,  0.09449,  1.00
87, 25,  0.18188,  0.18762, -0.91455,  1.00, -0.19685, -0.04724,  0.97638,  0.00,  0.03125,  0.16077,  0.2522,  0.82422,  0.30249,  0.75,  0.98425,  0.00,  0.19685,  1.00
88, 16,  0.09009,  0.375, -0.91455,  1.00, -0.09449, -0.11024,  0.99213,  0.00,  0.01563,  0.30469,  0.3457,  0.74951,  0.39038,  0.66992,  0.99213,  0.00,  0.09449,  1.00
89, 19,  0.09137,  0.18762, -0.92773,  1.00, -0.09449, -0.04724,  0.99213,  0.00,  0.01563,  0.16077,  0.28564,  0.84717,  0.32861,  0.76807,  0.99213,  0.00,  0.09449,  1.00
90, 26,  0.18274,  0.00, -0.91895,  1.00, -0.19685, -0.02362,  0.98425,  0.00,  0.03125,  0.00,  0.19702,  0.89746,  0.19043,  0.89502,  0.98425,  0.00,  0.19685,  1.00
91, 25,  0.18188,  0.18762, -0.91455,  1.00, -0.19685, -0.04724,  0.97638,  0.00,  0.03125,  0.16077,  0.2522,  0.82422,  0.30249,  0.75,  0.98425,  0.00,  0.19685,  1.00
92, 19,  0.09137,  0.18762, -0.92773,  1.00, -0.09449, -0.04724,  0.99213,  0.00,  0.01563,  0.16077,  0.28564,  0.84717,  0.32861,  0.76807,  0.99213,  0.00,  0.09449,  1.00
93, 26,  0.18274,  0.00, -0.91895,  1.00, -0.19685, -0.02362,  0.98425,  0.00,  0.03125,  0.00,  0.19702,  0.89746,  0.19043,  0.89502,  0.98425,  0.00,  0.19685,  1.00
94, 19,  0.09137,  0.18762, -0.92773,  1.00, -0.09449, -0.04724,  0.99213,  0.00,  0.01563,  0.16077,  0.28564,  0.84717,  0.32861,  0.76807,  0.99213,  0.00,  0.09449,  1.00
95, 23,  0.09186,  0.00, -0.93262,  1.00, -0.09449, -0.02362,  0.99213,  0.00,  0.01563,  0.00,  0.23804,  0.9248,  0.23132,  0.92334,  0.99213,  0.00,  0.09449,  1.00
96, 27,  0.27197,  0.00, -0.89648,  1.00, -0.29134, -0.02362,  0.95276,  0.00,  0.04688,  0.00,  0.15894,  0.86572,  0.15247,  0.86279,  0.96063,  0.00,  0.29134,  1.00
97, 25,  0.18188,  0.18762, -0.91455,  1.00, -0.19685, -0.04724,  0.97638,  0.00,  0.03125,  0.16077,  0.2522,  0.82422,  0.30249,  0.75,  0.98425,  0.00,  0.19685,  1.00
98, 26,  0.18274,  0.00, -0.91895,  1.00, -0.19685, -0.02362,  0.98425,  0.00,  0.03125,  0.00,  0.19702,  0.89746,  0.19043,  0.89502,  0.98425,  0.00,  0.19685,  1.00
99, 27,  0.27197,  0.00, -0.89648,  1.00, -0.29134, -0.02362,  0.95276,  0.00,  0.04688,  0.00,  0.15894,  0.86572,  0.15247,  0.86279,  0.96063,  0.00,  0.29134,  1.00
100, 28,  0.27075,  0.18762, -0.89209,  1.00, -0.29134, -0.04724,  0.95276,  0.00,  0.04688,  0.16077,  0.22107,  0.79834,  0.27856,  0.72949,  0.96063,  0.00,  0.29134,  1.00
101, 25,  0.18188,  0.18762, -0.91455,  1.00, -0.19685, -0.04724,  0.97638,  0.00,  0.03125,  0.16077,  0.2522,  0.82422,  0.30249,  0.75,  0.98425,  0.00,  0.19685,  1.00
102, 28,  0.27075,  0.18762, -0.89209,  1.00, -0.29134, -0.04724,  0.95276,  0.00,  0.04688,  0.16077,  0.22107,  0.79834,  0.27856,  0.72949,  0.96063,  0.00,  0.29134,  1.00
103, 22,  0.17932,  0.375, -0.90137,  1.00, -0.19685, -0.11024,  0.97638,  0.00,  0.03125,  0.30469,  0.32153,  0.73291,  0.37378,  0.6582,  0.98425,  0.00,  0.19685,  1.00
104, 25,  0.18188,  0.18762, -0.91455,  1.00, -0.19685, -0.04724,  0.97638,  0.00,  0.03125,  0.16077,  0.2522,  0.82422,  0.30249,  0.75,  0.98425,  0.00,  0.19685,  1.00
105, 28,  0.27075,  0.18762, -0.89209,  1.00, -0.29134, -0.04724,  0.95276,  0.00,  0.04688,  0.16077,  0.22107,  0.79834,  0.27856,  0.72949,  0.96063,  0.00,  0.29134,  1.00
106, 29,  0.26685,  0.375, -0.87939,  1.00, -0.29134, -0.11024,  0.95276,  0.00,  0.04688,  0.30469,  0.29932,  0.71436,  0.35864,  0.64502,  0.96063,  0.00,  0.29134,  1.00
107, 22,  0.17932,  0.375, -0.90137,  1.00, -0.19685, -0.11024,  0.97638,  0.00,  0.03125,  0.30469,  0.32153,  0.73291,  0.37378,  0.6582,  0.98425,  0.00,  0.19685,  1.00
108, 29,  0.26685,  0.375, -0.87939,  1.00, -0.29134, -0.11024,  0.95276,  0.00,  0.04688,  0.30469,  0.29932,  0.71436,  0.35864,  0.64502,  0.96063,  0.00,  0.29134,  1.00
109, 21,  0.17493,  0.52393, -0.87939,  1.00, -0.18898, -0.18898,  0.96063,  0.00,  0.03125,  0.43359,  0.36182,  0.67969,  0.40771,  0.61523,  0.98425,  0.00,  0.19685,  1.00
110, 22,  0.17932,  0.375, -0.90137,  1.00, -0.19685, -0.11024,  0.97638,  0.00,  0.03125,  0.30469,  0.32153,  0.73291,  0.37378,  0.6582,  0.98425,  0.00,  0.19685,  1.00
111, 30,  0.35864,  0.00, -0.86572,  1.00, -0.38583, -0.02362,  0.92126,  0.00,  0.0625,  0.00,  0.12408,  0.83057,  0.11792,  0.82666,  0.92126,  0.00,  0.38583,  1.00
112, 28,  0.27075,  0.18762, -0.89209,  1.00, -0.29134, -0.04724,  0.95276,  0.00,  0.04688,  0.16077,  0.22107,  0.79834,  0.27856,  0.72949,  0.96063,  0.00,  0.29134,  1.00
113, 27,  0.27197,  0.00, -0.89648,  1.00, -0.29134, -0.02362,  0.95276,  0.00,  0.04688,  0.00,  0.15894,  0.86572,  0.15247,  0.86279,  0.96063,  0.00,  0.29134,  1.00
114, 30,  0.35864,  0.00, -0.86572,  1.00, -0.38583, -0.02362,  0.92126,  0.00,  0.0625,  0.00,  0.12408,  0.83057,  0.11792,  0.82666,  0.92126,  0.00,  0.38583,  1.00
115, 31,  0.35693,  0.18762, -0.86133,  1.00, -0.38583, -0.04724,  0.92126,  0.00,  0.0625,  0.16077,  0.19275,  0.76953,  0.25684,  0.70654,  0.92126,  0.00,  0.38583,  1.00
116, 28,  0.27075,  0.18762, -0.89209,  1.00, -0.29134, -0.04724,  0.95276,  0.00,  0.04688,  0.16077,  0.22107,  0.79834,  0.27856,  0.72949,  0.96063,  0.00,  0.29134,  1.00
117, 31,  0.35693,  0.18762, -0.86133,  1.00, -0.38583, -0.04724,  0.92126,  0.00,  0.0625,  0.16077,  0.19275,  0.76953,  0.25684,  0.70654,  0.92126,  0.00,  0.38583,  1.00
118, 29,  0.26685,  0.375, -0.87939,  1.00, -0.29134, -0.11024,  0.95276,  0.00,  0.04688,  0.30469,  0.29932,  0.71436,  0.35864,  0.64502,  0.96063,  0.00,  0.29134,  1.00
119, 28,  0.27075,  0.18762, -0.89209,  1.00, -0.29134, -0.04724,  0.95276,  0.00,  0.04688,  0.16077,  0.22107,  0.79834,  0.27856,  0.72949,  0.96063,  0.00,  0.29134,  1.00
120, 31,  0.35693,  0.18762, -0.86133,  1.00, -0.38583, -0.04724,  0.92126,  0.00,  0.0625,  0.16077,  0.19275,  0.76953,  0.25684,  0.70654,  0.92126,  0.00,  0.38583,  1.00
121, 32,  0.35156,  0.375, -0.84912,  1.00, -0.37795, -0.11024,  0.92126,  0.00,  0.0625,  0.30469,  0.27905,  0.69336,  0.34473,  0.63086,  0.92126,  0.00,  0.38583,  1.00
122, 29,  0.26685,  0.375, -0.87939,  1.00, -0.29134, -0.11024,  0.95276,  0.00,  0.04688,  0.30469,  0.29932,  0.71436,  0.35864,  0.64502,  0.96063,  0.00,  0.29134,  1.00
123, 33,  0.44165,  0.00, -0.82617,  1.00, -0.47244, -0.02362,  0.88189,  0.00,  0.07813,  0.00,  0.09296,  0.7915,  0.08716,  0.7876,  0.88189,  0.00,  0.47244,  1.00
124, 31,  0.35693,  0.18762, -0.86133,  1.00, -0.38583, -0.04724,  0.92126,  0.00,  0.0625,  0.16077,  0.19275,  0.76953,  0.25684,  0.70654,  0.92126,  0.00,  0.38583,  1.00
125, 30,  0.35864,  0.00, -0.86572,  1.00, -0.38583, -0.02362,  0.92126,  0.00,  0.0625,  0.00,  0.12408,  0.83057,  0.11792,  0.82666,  0.92126,  0.00,  0.38583,  1.00
